foodname,calories,protein,fat,carbs,salt
Backhefe getrocknet (Trockenbackhefe),334,40.4,7.61,14.3,0.128
Backhefe frisch (Frischbackhefe),128,16.7,1.2,10.0,0.085
Gelatine/Speisegelatine,341,85.1,0.1,0.0,0.412
Milchsäure 80 % (E 270),240,0.0,0.0,0.0,0.0
Citronensäure/Zitronensäure (E 330),300,0.0,0.0,0.0,0.0
Ascorbinsäure (E 300),0,0.0,0.0,0.0,0.0
Essigsäure 60 % (E 260),180,0.0,0.0,0.0,0.0
"Fleisch Bouillon/Brühe/Suppe (Brühwürfel, Pulver)",207,7.24,6.48,27.76,48.9888
"Gemüse Bouillon/Brühe/Suppe (Brühwürfel, Pulver)",195,5.82,5.8,27.91,51.7312
"Hühner Bouillon/Brühe/Suppe (Brühwürfel, Pulver)",201,6.96,4.3,32.75,55.2875
Zucker weiß (Raffinadezucker/Weißzucker),400,0.0,0.0,100.0,0.012
Zucker braun (Kandisfarin/Rohzucker),387,0.0,0.0,96.7,0.005
Traubenzucker (Dextrose/Glukose),400,0.0,0.0,100.0,0.0
Milchzucker (Laktose),400,0.0,0.0,100.0,0.0
Malzzucker (Maltose),400,0.0,0.0,100.0,0.0
Fruchtzucker (Fruktose),400,0.0,0.0,100.0,0.0
Nuss-Nougat-Creme,530,6.9,30.55,54.75,0.0715
Glukosesirup maltosehaltig,413,0.0,0.0,79.5,0.0
Sorbit Pulver (E 420),235,0.0,0.0,98.0,0.0
Schokoladeneis,232,3.62,10.48,29.25,0.092
Walnusseis,240,3.4,12.8,26.74,0.0855
Lakritze,311,5.21,0.5,70.64,0.51
